player_name,game_date,events,stand,batter,pitcher,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle
"Bichette, Bo",2023-10-01,field_out,R,666182,682052,124.06,81.64,86.2,40,293,0.005,0.006
"Bichette, Bo",2023-10-01,triple,R,666182,671737,213.08,103.78,97.1,24,306,0.281,0.466
"Bichette, Bo",2023-10-01,field_out,R,666182,682052,156.3,172.07,100.4,-20,6,0.138,0.124
"Bichette, Bo",2023-09-30,field_out,R,666182,681867,141.15,184.8,58.3,-47,2,0.198,0.191
"Bichette, Bo",2023-09-30,double,R,666182,606965,67.43,74.06,106,21,338,0.694,1.18254
"Bichette, Bo",2023-09-30,field_out,R,666182,542888,176.75,93.56,90.3,24,291,0.116,0.14
"Bichette, Bo",2023-09-29,single,R,666182,541640,104.93,173.83,82.3,-49,2,0.133,0.131
"Bichette, Bo",2023-09-29,field_out,R,666182,650644,144.01,166.77,58.2,66,100,0.003,0.002
"Bichette, Bo",2023-09-29,single,R,666182,641793,192.08,111.61,103.8,7,174,0.668,0.613
"Bichette, Bo",2023-09-29,double,R,666182,671737,64.16,149.78,83.2,-19,7,0.064,0.058
"Bichette, Bo",2023-09-29,single,R,666182,541640,174.35,120.03,100.5,6,155,0.632,0.588
"Bichette, Bo",2023-09-28,single,R,666182,596133,188.57,112.95,110.1,1,75,0.55,0.495
"Bichette, Bo",2023-09-28,grounded_into_double_play,R,666182,502083,104.88,166.31,87.7,-15,5,0.096,0.088
"Bichette, Bo",2023-09-28,single,R,666182,669711,213.85,112.2,101.1,14,260,0.789,0.789
"Bichette, Bo",2023-09-27,field_out,R,666182,543037,118.38,158.31,95.6,1,61,0.397,0.359
"Bichette, Bo",2023-09-27,field_out,R,666182,543037,109.74,172.56,75.1,-4,17,0.08,0.072
"Bichette, Bo",2023-09-27,field_out,R,666182,543037,166.79,49.49,103.1,29,383,0.69,1.3596212121212112
"Bichette, Bo",2023-09-26,field_out,R,666182,650633,85.14,158.87,76.4,-33,3,0.041,0.049
"Bichette, Bo",2023-09-26,single,R,666182,666745,80.9,101.61,91,8,162,0.563,0.52
