player_name,mlbam_id,hitter_type,bats,n_bip,n_zone_included,n_zone_excluded,chi_square_statistic,chi_square_df,chi_square_p_value,lisa_high_high_cells,lisa_low_low_cells,lisa_high_low_cells,lisa_low_high_cells,lisa_significant_cells,lisa_total_cells,n_lisa_points,ripley_max_l_above_theoretical,ripley_pct_distances_above_envelope,mean_spray_angle,median_spray_angle,spray_angle_t,spray_angle_p_value,spray_angle_ci_low,spray_angle_ci_high,pull_percent,center_percent,opposite_percent,spatial_entropy,normalized_spatial_entropy,raw_count_spatial_entropy,raw_count_normalized_spatial_entropy,area_weighted_kl_divergence,convex_hull_area,avg_xba,avg_xwoba
Eugenio Suarez,553993,Balanced,R,395,371,24,345.1082017712747,8,1.0020813147872083e-69,7,0,0,2,9,74,371,4.733660566764852,59.4541910331384,-7.623374480430441,-13.33061521273872,-5.513588856683532,6.371401805032872e-8,-10.341672674797922,-4.905076286062961,46.32911392405063,30.379746835443036,23.29113924050633,1.8301248823592478,0.8329257287746067,2.005838497217848,0.9128964412229558,0.25578239209265563,23938.48525,0.33931510416666666,0.4170072574252739
J.T. Realmuto,592663,Balanced,R,356,331,25,411.99452416918456,8,5.085092374754457e-84,4,0,0,5,9,74,331,6.721456628497556,66.66666666666666,-4.213421847090163,-10.263897050328133,-2.6271149426348233,0.008984553520406991,-7.367606516453265,-1.05923717772706,45.78651685393258,26.96629213483146,27.247191011235955,1.7609143474845195,0.8014266569052054,2.005224155852735,0.912616842418423,0.2988454901922655,25473.189300000002,0.34706552706552707,0.42060834117177875
Pete Alonso,624413,Balanced,R,419,381,38,422.0247469066369,8,3.6262024347935425e-86,7,0,0,4,11,74,381,6.3870756310905925,68.03118908382066,-4.493235705832311,-10.990851094096055,-2.8325048609791166,0.004841874859525622,-7.61137803855022,-1.3750933731144022,45.82338902147971,27.20763723150358,26.968973747016708,1.825893351853607,0.8309998762471554,2.0623197417726615,0.9386021634042031,0.2971770976735559,27827.499900000003,0.3289156626506024,0.43444452413369966
TJ Friedl,670770,Balanced,L,409,368,41,580.3219380822974,8,3.971512222257625e-120,6,0,0,4,10,74,368,6.179350186911073,58.28460038986355,-10.910199225412622,-17.33921041140337,-6.797619179411133,3.7886738296256845e-11,-14.065306702958015,-7.75509174786723,53.789731051344745,24.938875305623473,21.271393643031786,1.716528712016886,0.7812258836545057,1.9933439365592411,0.9072099216074896,0.38744350947242284,22054.5664,0.28688693467336684,0.29346812983677273
Trent Grisham,663757,Balanced,L,320,286,34,384.1709852647348,8,4.544260771083239e-78,7,0,0,2,9,74,286,4.811311827948689,47.758284600389864,-8.778787299875813,-14.367094937653203,-4.772575530268929,2.7741094688478176e-6,-12.397721191400931,-5.159853408350693,49.375,28.4375,22.1875,1.7401654790967012,0.7919834399478506,1.9931340519318304,0.907114398997022,0.33717578016013083,22849.042400000002,0.3154217252396166,0.3847898450347723
Yandy Diaz,650490,Center,R,433,402,31,419.1822361407251,8,1.4720831342935408e-85,8,0,0,2,10,74,402,8.222804525068284,90.25341130604289,0.9299113518292472,-1.421859658683564,0.6534000062521561,0.5138460429602689,-1.8673236043799473,3.7271463080384413,32.33256351039261,33.71824480369515,33.94919168591224,1.8200657964194553,0.8283476414714018,2.034049917816931,0.9257360120570326,0.32189030334738455,24828.380349999996,0.36597668997669,0.4145863296436402
Bo Bichette,666182,Opposite,R,457,425,32,346.4523949579831,8,5.176670491256853e-70,11,0,0,2,13,74,425,5.629034476379971,64.5224171539961,6.726209695619378,10.031786439626817,5.158686286231008,3.716434122513818e-7,4.163888283471943,9.288531107766815,28.446389496717725,26.2582056892779,45.29540481400438,1.8923917464809616,0.8612645998959203,2.088232639216653,0.9503956312687428,0.28105970478100634,22684.988350000003,0.3779911504424779,0.4251360440826934
CJ Abrams,682928,Pull,L,451,416,35,508.9105211195051,8,8.61584278412264e-105,7,0,0,3,10,74,416,5.796100715804748,70.37037037037037,-5.697204137505101,-9.392405524512625,-4.026054075110721,6.655405661760896e-5,-8.478197217152,-2.916211057858203,43.68070953436807,31.263858093126387,25.055432372505543,1.8016377292767332,0.8199606666792925,2.06258401127453,0.938722437637704,0.3534734788540212,23355.6349,0.3068314606741573,0.34540561090237254
Jake Cronenworth,630105,Pull,L,367,327,40,266.9550294888595,8,4.358349538642607e-53,6,0,0,3,9,74,327,5.967677187983075,62.1832358674464,-3.997627105042908,-4.490801137578394,-2.6286237104990535,0.008934275074881754,-6.9882417904264384,-1.0070124196593782,41.14441416893733,29.155313351498638,29.70027247956403,1.9042488630059968,0.8666610061838064,2.102525530855657,0.956900606584617,0.2509090368026485,23400.2718,0.2980223463687151,0.32732419150119657
Josh Jung,673962,Pull,R,329,314,15,223.8004151501366,8,6.058890502408041e-44,6,0,0,3,9,74,314,5.766581705406505,99.02534113060429,-2.1838116900598634,-5.469532772590489,-1.554494308008629,0.12103087883419314,-4.947439825364214,0.5798164452444866,35.86626139817629,38.60182370820669,25.53191489361702,1.8641535983843347,0.8484128648534963,1.9897125449387942,0.9055572040574021,0.22227320633535577,23043.123050000006,0.3710306748466258,0.4489907767769797
