player_name,game_date,events,type,description,stand,batter,pitcher,p_throws,pitch_type,balls,strikes,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle,selected_hitter,selected_mlbam_id,spray_x,spray_y,batter_hand,batter_spray_x,batter_spray_y,result_class,spray_angle_rad,spray_angle_deg,spray_direction
"Bichette, Bo",2023-10-01,field_out,X,hit_into_play,R,666182,682052,L,CH,1,0,124.06,81.64,86.2,40,293,0.005,0.006,"Bichette, Bo",666182,-0.9399999999999977,118.36,R,-0.9399999999999977,118.36,Out,-0.00794170528700241,-0.45502619508197023,Center
"Bichette, Bo",2023-10-01,triple,X,hit_into_play,R,666182,671737,R,FF,1,0,213.08,103.78,97.1,24,306,0.281,0.466,"Bichette, Bo",666182,88.08000000000001,96.22,R,88.08000000000001,96.22,Triple,0.7412597304409552,42.47105407727181,Opposite
"Bichette, Bo",2023-10-01,field_out,X,hit_into_play,R,666182,682052,L,FF,2,0,156.3,172.07,100.4,-20,6,0.138,0.124,"Bichette, Bo",666182,31.30000000000001,27.930000000000007,R,31.30000000000001,27.930000000000007,Out,0.8422337287434436,48.256438020565525,Opposite
"Bichette, Bo",2023-09-30,field_out,X,hit_into_play,R,666182,681867,R,FC,2,1,141.15,184.8,58.3,-47,2,0.198,0.191,"Bichette, Bo",666182,16.150000000000006,15.199999999999989,R,16.150000000000006,15.199999999999989,Out,0.815691923316224,46.73570458892843,Opposite
"Bichette, Bo",2023-09-30,double,X,hit_into_play,R,666182,606965,R,CH,1,1,67.43,74.06,106,21,338,0.694,1.18254,"Bichette, Bo",666182,-57.56999999999999,125.94,R,-57.56999999999999,125.94,Double,-0.42876113878731525,-24.566203671736105,Pull
"Bichette, Bo",2023-09-30,field_out,X,hit_into_play,R,666182,542888,R,SI,0,0,176.75,93.56,90.3,24,291,0.116,0.14,"Bichette, Bo",666182,51.75,106.44,R,51.75,106.44,Out,0.4525382145680772,25.92852976313649,Opposite
"Bichette, Bo",2023-09-29,single,X,hit_into_play,R,666182,541640,R,FC,0,1,104.93,173.83,82.3,-49,2,0.133,0.131,"Bichette, Bo",666182,-20.069999999999993,26.169999999999987,R,-20.069999999999993,26.169999999999987,Single,-0.6542351255329276,-37.48491150224836,Pull
"Bichette, Bo",2023-09-29,field_out,X,hit_into_play,R,666182,650644,R,SI,1,1,144.01,166.77,58.2,66,100,0.003,0.002,"Bichette, Bo",666182,19.00999999999999,33.22999999999999,R,19.00999999999999,33.22999999999999,Out,0.5196321015725907,29.772726319622752,Opposite
"Bichette, Bo",2023-09-29,single,X,hit_into_play,R,666182,641793,R,FF,0,1,192.08,111.61,103.8,7,174,0.668,0.613,"Bichette, Bo",666182,67.08000000000001,88.39,R,67.08000000000001,88.39,Single,0.6491787694859751,37.195203641042525,Opposite
"Bichette, Bo",2023-09-29,double,X,hit_into_play,R,666182,671737,R,CU,0,2,64.16,149.78,83.2,-19,7,0.064,0.058,"Bichette, Bo",666182,-60.84,50.22,R,-60.84,50.22,Double,-0.8807322788993842,-50.46224246187364,Pull
"Bichette, Bo",2023-09-29,single,X,hit_into_play,R,666182,541640,R,FF,0,2,174.35,120.03,100.5,6,155,0.632,0.588,"Bichette, Bo",666182,49.349999999999994,79.97,R,49.349999999999994,79.97,Single,0.5529028817141628,31.679001602842508,Opposite
