player_name,game_date,events,type,description,stand,batter,pitcher,p_throws,pitch_type,balls,strikes,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle,selected_hitter,selected_mlbam_id,spray_x,spray_y,batter_hand,batter_spray_x,batter_spray_y,result_class,spray_angle_rad,spray_angle_deg,spray_direction
"Abrams, CJ",2023-10-01,field_out,X,hit_into_play,L,682928,689266,L,FC,2,2,115.77,149.05,70,-13,8,0.059,0.055,"Abrams, CJ",682928,-9.230000000000004,50.94999999999999,L,9.230000000000004,50.94999999999999,Out,0.17921436771733787,10.26822689830905,Center
"Abrams, CJ",2023-10-01,field_out,X,hit_into_play,L,682928,689266,L,FC,0,0,148.89,141.52,95,-13,12,0.207,0.188,"Abrams, CJ",682928,23.889999999999986,58.47999999999999,L,-23.889999999999986,58.47999999999999,Out,-0.38782590069469774,-22.220787295665964,Pull
"Abrams, CJ",2023-10-01,field_out,X,hit_into_play,L,682928,689266,L,SL,1,0,160.14,167.98,84,9,118,0.447,0.403,"Abrams, CJ",682928,35.139999999999986,32.02000000000001,L,-35.139999999999986,32.02000000000001,Out,-0.8318210102406084,-47.659833197095296,Pull
"Abrams, CJ",2023-10-01,field_out,X,hit_into_play,L,682928,543859,R,FF,1,1,61.81,140.1,85.8,58,216,0.008,0.008,"Abrams, CJ",682928,-63.19,59.900000000000006,L,63.19,59.900000000000006,Out,0.8121202112349661,46.53106056103646,Opposite
"Abrams, CJ",2023-10-01,single,X,hit_into_play,L,682928,641729,R,SL,1,2,121.85,162.23,101.6,3,83,0.574,0.544,"Abrams, CJ",682928,-3.1500000000000057,37.77000000000001,L,3.1500000000000057,37.77000000000001,Single,0.08320696514280011,4.767407928774602,Center
"Abrams, CJ",2023-10-01,single,X,hit_into_play,L,682928,689266,L,FF,0,0,140.61,97.84,87.9,4,87,0.422,0.386,"Abrams, CJ",682928,15.610000000000014,102.16,L,-15.610000000000014,102.16,Single,-0.15162674359757405,-8.68757246945327,Center
"Abrams, CJ",2023-09-30,field_out,X,hit_into_play,L,682928,675911,R,FF,2,1,66.74,87.2,95.2,39,325,0.053,0.089,"Abrams, CJ",682928,-58.260000000000005,112.8,L,58.260000000000005,112.8,Out,0.4767519106332582,27.31587235408389,Opposite
"Abrams, CJ",2023-09-30,field_out,X,hit_into_play,L,682928,675911,R,FF,2,1,133.4,177.94,82.6,8,93,0.437,0.422,"Abrams, CJ",682928,8.400000000000006,22.060000000000002,L,-8.400000000000006,22.060000000000002,Out,-0.3638281440084312,-20.84581711976104,Pull
"Abrams, CJ",2023-09-30,double,X,hit_into_play,L,682928,628452,R,SI,3,2,172,53.55,103.6,19,376,0.405,0.6105384615384615,"Abrams, CJ",682928,47,146.45,L,-47,146.45,Double,-0.3105451017524896,-17.79292367887836,Pull
"Abrams, CJ",2023-09-30,single,X,hit_into_play,L,682928,675911,R,FF,0,1,139.22,139.41,79,3,58,0.27,0.245,"Abrams, CJ",682928,14.219999999999999,60.59,L,-14.219999999999999,60.59,Single,-0.23052024284360112,-13.207837007269163,Center
"Abrams, CJ",2023-09-29,field_out,X,hit_into_play,L,682928,642216,R,SI,2,1,142.13,144.48,91.6,-9,14,0.213,0.199,"Abrams, CJ",682928,17.129999999999995,55.52000000000001,L,-17.129999999999995,55.52000000000001,Out,-0.2992708097544927,-17.146954330395022,Pull
"Abrams, CJ",2023-09-29,field_out,X,hit_into_play,L,682928,623451,R,CU,1,0,83.46,123.99,77.4,50,217,0.05,0.045,"Abrams, CJ",682928,-41.540000000000006,76.01,L,41.540000000000006,76.01,Out,0.500157519862435,28.656914979848164,Opposite
"Abrams, CJ",2023-09-29,field_out,X,hit_into_play,L,682928,642216,R,FF,0,0,167.19,163.65,84.4,5,83,0.38,0.342,"Abrams, CJ",682928,42.19,36.349999999999994,L,-42.19,36.349999999999994,Out,-0.8596185926230979,-49.252517348279156,Pull
"Abrams, CJ",2023-09-27,single,X,hit_into_play,L,682928,680570,R,CU,0,1,141.53,93.74,103.3,6,130,0.663,0.633,"Abrams, CJ",682928,16.53,106.26,L,-16.53,106.26,Single,-0.1543249016129616,-8.842165536194372,Center
"Abrams, CJ",2023-09-27,field_out,X,hit_into_play,L,682928,680570,R,FF,1,2,82.62,183.84,76.4,71,115,0.003,0.003,"Abrams, CJ",682928,-42.379999999999995,16.159999999999997,L,42.379999999999995,16.159999999999997,Out,1.2065034170353592,69.12755376423836,Opposite
"Abrams, CJ",2023-09-26,field_out,X,hit_into_play,L,682928,680694,R,SI,3,2,144.32,140.73,93.9,-11,14,0.186,0.175,"Abrams, CJ",682928,19.319999999999993,59.27000000000001,L,-19.319999999999993,59.27000000000001,Out,-0.31510529128624765,-18.054203292942425,Pull
"Abrams, CJ",2023-09-26,field_out,X,hit_into_play,L,682928,680694,R,SI,2,2,119.28,149.91,86,-27,4,0.067,0.062,"Abrams, CJ",682928,-5.719999999999999,50.09,L,5.719999999999999,50.09,Out,0.11370191857562802,6.514640056923622,Center
"Abrams, CJ",2023-09-26,field_out,X,hit_into_play,L,682928,680694,R,CU,1,1,147.62,157.19,89.5,-31,3,0.089,0.086,"Abrams, CJ",682928,22.620000000000005,42.81,L,-22.620000000000005,42.81,Out,-0.4860939493311273,-27.851131743519684,Pull
"Abrams, CJ",2023-09-26,field_out,X,hit_into_play,L,682928,680694,R,FF,1,0,122.24,143.48,78.1,6,98,0.246,0.23,"Abrams, CJ",682928,-2.760000000000005,56.52000000000001,L,2.760000000000005,56.52000000000001,Out,0.04879351220775212,2.795662317124256,Center
"Abrams, CJ",2023-09-24,field_out,X,hit_into_play,L,682928,642216,R,CH,0,1,167.84,158.45,71,9,103,0.308,0.285,"Abrams, CJ",682928,42.84,41.55000000000001,L,-42.84,41.55000000000001,Out,-0.8006831442868866,-45.875764894902936,Pull
"Abrams, CJ",2023-09-24,field_out,X,hit_into_play,L,682928,675911,R,SL,2,2,148.05,65.82,101,19,335,0.418,0.519,"Abrams, CJ",682928,23.05000000000001,134.18,L,-23.05000000000001,134.18,Out,-0.17012370067035704,-9.747370043558393,Center
"Abrams, CJ",2023-09-24,sac_fly,X,hit_into_play,L,682928,642216,R,CH,2,1,134.05,52.07,96.1,33,363,NA,0.37711111111111106,"Abrams, CJ",682928,9.050000000000011,147.93,L,-9.050000000000011,147.93,Out,-0.06110143187904727,-3.5008541688755117,Center
"Abrams, CJ",2023-09-24,single,X,hit_into_play,L,682928,675911,R,FF,1,2,140.41,128.65,106,-12,11,0.324,0.304,"Abrams, CJ",682928,15.409999999999997,71.35,L,-15.409999999999997,71.35,Single,-0.21271035553290663,-12.187405630762768,Center
"Abrams, CJ",2023-09-24,field_out,X,hit_into_play,L,682928,657140,R,FF,1,1,134.43,141.96,93.5,-24,6,0.128,0.121,"Abrams, CJ",682928,9.430000000000007,58.03999999999999,L,-9.430000000000007,58.03999999999999,Out,-0.1610667250815042,-9.22844356716411,Center
