player_name,game_date,events,type,description,stand,batter,pitcher,p_throws,pitch_type,balls,strikes,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle,selected_hitter,selected_mlbam_id,spray_x,spray_y,batter_hand,batter_spray_x,batter_spray_y,result_class,spray_angle_rad,spray_angle_deg,spray_direction
"Suárez, Eugenio",2023-10-01,single,X,hit_into_play,R,553993,641540,R,SI,1,1,115.98,89.94,95.3,7,108,0.579,0.545,"Suárez, Eugenio",553993,-9.019999999999996,110.06,R,-9.019999999999996,110.06,Single,-0.08177254412727929,-4.685221658540389,Center
"Suárez, Eugenio",2023-10-01,field_out,X,hit_into_play,R,553993,527048,L,SI,1,1,191.54,91,91.4,28,313,0.068,0.085,"Suárez, Eugenio",553993,66.53999999999999,109,R,66.53999999999999,109,Out,0.5480742619857528,31.402342071531013,Opposite
"Suárez, Eugenio",2023-09-30,home_run,X,hit_into_play,R,553993,674003,L,FF,2,1,40.69,75.51,109.2,26,370,0.969,1.9295,"Suárez, Eugenio",553993,-84.31,124.49,R,-84.31,124.49,Home Run,-0.5952890875154854,-34.107552304831216,Pull
"Suárez, Eugenio",2023-09-30,field_out,X,hit_into_play,R,553993,571760,L,FF,1,2,189.88,110.01,92.6,50,272,0.003,0.003,"Suárez, Eugenio",553993,64.88,89.99,R,64.88,89.99,Out,0.6246609292885231,35.790434874952325,Opposite
"Suárez, Eugenio",2023-09-30,field_out,X,hit_into_play,R,553993,622250,R,FF,1,0,93.21,167.3,84.8,-13,12,0.086,0.079,"Suárez, Eugenio",553993,-31.790000000000006,32.69999999999999,R,-31.790000000000006,32.69999999999999,Out,-0.7712883849849052,-44.191569247096474,Pull
"Suárez, Eugenio",2023-09-29,double,X,hit_into_play,R,553993,543135,R,FF,3,2,129.73,41.16,108.1,16,341,0.431,0.595,"Suárez, Eugenio",553993,4.72999999999999,158.84,R,4.72999999999999,158.84,Double,0.029769596008293122,1.7056722090846983,Center
"Suárez, Eugenio",2023-09-29,field_out,X,hit_into_play,R,553993,656641,L,CH,0,1,99.29,153.1,83.2,2,45,0.27,0.243,"Suárez, Eugenio",553993,-25.709999999999994,46.900000000000006,R,-25.709999999999994,46.900000000000006,Out,-0.5014506937456831,-28.731008385534828,Pull
"Suárez, Eugenio",2023-09-29,field_out,X,hit_into_play,R,553993,543135,R,FC,2,0,110.95,176.42,76.9,-12,9,0.061,0.055,"Suárez, Eugenio",553993,-14.049999999999997,23.580000000000013,R,-14.049999999999997,23.580000000000013,Out,-0.5373579665681311,-30.7883435720859,Pull
"Suárez, Eugenio",2023-09-28,double,X,hit_into_play,R,553993,656756,L,CU,0,0,52.74,128.78,101.7,7,127,0.639,0.576,"Suárez, Eugenio",553993,-72.25999999999999,71.22,R,-72.25999999999999,71.22,Double,-0.7926464334487752,-45.4152952827121,Pull
"Suárez, Eugenio",2023-09-28,field_out,X,hit_into_play,R,553993,600917,R,SL,1,0,134.11,196.44,86.4,78,26,0.001,0,"Suárez, Eugenio",553993,9.110000000000014,3.5600000000000023,R,9.110000000000014,3.5600000000000023,Out,1.198263959518979,68.65546762307243,Opposite
"Suárez, Eugenio",2023-09-27,single,X,hit_into_play,R,553993,664285,L,CH,1,0,70.07,113.72,92.2,11,141,0.784,0.707,"Suárez, Eugenio",553993,-54.93000000000001,86.28,R,-54.93000000000001,86.28,Single,-0.5669316785469926,-32.48279245301015,Pull
"Suárez, Eugenio",2023-09-26,field_out,X,hit_into_play,R,553993,664299,R,FF,3,1,168.24,136.37,101.6,63,179,0.032,0.036,"Suárez, Eugenio",553993,43.24000000000001,63.629999999999995,R,43.24000000000001,63.629999999999995,Out,0.5968713907352416,34.19821160123321,Opposite
"Suárez, Eugenio",2023-09-26,field_out,X,hit_into_play,R,553993,592773,R,FF,1,0,94.22,167.3,88.6,-16,10,0.093,0.088,"Suárez, Eugenio",553993,-30.78,32.69999999999999,R,-30.78,32.69999999999999,Out,-0.7551616346352525,-43.26757451480026,Pull
"Suárez, Eugenio",2023-09-25,field_out,X,hit_into_play,R,553993,434378,R,FF,1,1,185.99,159.18,92.9,66,166,0.005,0.005,"Suárez, Eugenio",553993,60.99000000000001,40.81999999999999,R,60.99000000000001,40.81999999999999,Out,0.98097973483604,56.205998593967706,Opposite
"Suárez, Eugenio",2023-09-25,field_out,X,hit_into_play,R,553993,434378,R,FF,0,2,141.01,144.06,90.2,65,148,0.005,0.005,"Suárez, Eugenio",553993,16.00999999999999,55.94,R,16.00999999999999,55.94,Out,0.2787481953300836,15.971095139302072,Opposite
"Suárez, Eugenio",2023-09-24,single,X,hit_into_play,R,553993,608717,R,FF,0,2,85.29,98.54,103.8,11,193,0.924,0.914,"Suárez, Eugenio",553993,-39.709999999999994,101.46,R,-39.709999999999994,101.46,Single,-0.37305832830986385,-21.374667724361036,Pull
"Suárez, Eugenio",2023-09-24,double,X,hit_into_play,R,553993,600917,R,SL,2,2,38,117,87.6,19,246,0.629,0.596,"Suárez, Eugenio",553993,-87,83,R,-87,83,Double,-0.8089232343826652,-46.3478872801986,Pull
"Suárez, Eugenio",2023-09-24,sac_fly,X,hit_into_play,R,553993,527048,L,CH,3,1,133.54,62.63,103.5,47,338,NA,0.13,"Suárez, Eugenio",553993,8.539999999999992,137.37,R,8.539999999999992,137.37,Out,0.062087963312416755,3.557378256364575,Center
"Suárez, Eugenio",2023-09-23,field_out,X,hit_into_play,R,553993,656756,L,FF,1,1,64.01,104.93,95.7,22,279,0.234,0.294,"Suárez, Eugenio",553993,-60.989999999999995,95.07,R,-60.989999999999995,95.07,Out,-0.5703959356597859,-32.68127976472138,Pull
"Suárez, Eugenio",2023-09-23,field_out,X,hit_into_play,R,553993,656756,L,CU,0,1,175.48,117.9,81.1,51,237,0.047,0.058,"Suárez, Eugenio",553993,50.47999999999999,82.1,R,50.47999999999999,82.1,Out,0.5512743253695055,31.58569219759439,Opposite
"Suárez, Eugenio",2023-09-22,single,X,hit_into_play,R,553993,641540,R,SI,2,2,123.14,78.61,108.5,12,211,0.884,0.908,"Suárez, Eugenio",553993,-1.8599999999999994,121.39,R,-1.8599999999999994,121.39,Single,-0.015321315242176833,-0.8778466999661914,Center
"Suárez, Eugenio",2023-09-22,force_out,X,hit_into_play,R,553993,641540,R,SI,0,0,137.9,155.56,94.5,10,148,0.711,0.662,"Suárez, Eugenio",553993,12.900000000000006,44.44,R,12.900000000000006,44.44,Out,0.28251478483668785,16.186904821188758,Opposite
"Suárez, Eugenio",2023-09-22,single,X,hit_into_play,R,553993,547973,L,SI,0,0,153.46,135.62,70.9,11,105,0.279,0.251,"Suárez, Eugenio",553993,28.460000000000008,64.38,R,28.460000000000008,64.38,Single,0.4162337370493435,23.848436423885474,Opposite
"Suárez, Eugenio",2023-09-20,double,X,hit_into_play,R,553993,683155,R,FF,1,2,108.05,22.63,104.2,22,390,0.65,1.14465,"Suárez, Eugenio",553993,-16.950000000000003,177.37,R,-16.950000000000003,177.37,Double,-0.09527362871375483,-5.458776824194566,Center
"Suárez, Eugenio",2023-09-20,field_out,X,hit_into_play,R,553993,683155,R,FF,3,2,176.97,118.52,77.1,46,238,0.068,0.062,"Suárez, Eugenio",553993,51.97,81.48,R,51.97,81.48,Out,0.5677688419317077,32.53075838171721,Opposite
"Suárez, Eugenio",2023-09-20,field_out,X,hit_into_play,R,553993,661309,R,FF,3,2,92.09,163.01,94.6,-2,30,0.345,0.312,"Suárez, Eugenio",553993,-32.91,36.99000000000001,R,-32.91,36.99000000000001,Out,-0.7270952164118473,-41.659487204550075,Pull
"Suárez, Eugenio",2023-09-20,field_out,X,hit_into_play,R,553993,683155,R,FF,2,1,79.97,75.63,91,27,326,0.079,0.1,"Suárez, Eugenio",553993,-45.03,124.37,R,-45.03,124.37,Out,-0.34738228603768717,-19.903538867565818,Pull
